"","year","month","avg_temp","max_temp","min_temp","preciptation","snow_inch","snow_mm"
"73",2001,"3",37.7096774193548,50.6129032258064,24.258064516129,0.017741935483871,NA,NA
"74",2001,"4",36.3333333333333,48.6333333333333,23.5,0.041,NA,NA
"75",2001,"5",53.3333333333333,70.8333333333333,35.3666666666667,0.001,NA,NA
"76",2001,"6",55.9666666666667,73.2,38.1333333333333,0,NA,NA
"77",2001,"7",59.9677419354839,77.6451612903226,41.6451612903226,0.00193548387096774,NA,NA
"78",2001,"8",61.741935483871,81.8064516129032,41.1290322580645,0.0067741935483871,NA,NA
"79",2001,"9",55.4666666666667,74.6666666666667,35.9,0.011,NA,NA
"80",2001,"10",49.4444444444444,66.6451612903226,31,0.00967741935483871,NA,NA
"81",2001,"11",36.7666666666667,49.2666666666667,23.7333333333333,0.083,NA,NA
"82",2001,"12",27.7096774193548,38.4193548387097,16.3225806451613,0.0929032258064516,NA,NA
"83",2002,"1",25.6451612903226,39.2258064516129,13,0.0193548387096774,NA,NA
"84",2002,"2",31.0357142857143,45.1071428571429,16.6071428571429,0.0182142857142857,NA,NA
"85",2002,"3",32.5555555555556,44.5333333333333,19.3793103448276,0.034,NA,NA
"86",2002,"4",40.8,53.4666666666667,27.4333333333333,0.0253333333333333,NA,NA
"87",2002,"5",46.1935483870968,61.5806451612903,30.2903225806452,0.00483870967741936,NA,NA
"88",2002,"6",55.6,74.1666666666667,36.4666666666667,0,NA,NA
"89",2002,"7",62.9655172413793,81.9354838709677,44.1290322580645,0.0203225806451613,NA,NA
"90",2002,"8",58.7096774193548,78.3870967741936,38.4838709677419,0,NA,NA
"91",2002,"9",54.1,72.8666666666667,34.7333333333333,0,NA,NA
"92",2002,"10",43.7741935483871,61.3870967741936,25.6774193548387,0,NA,NA
"93",2002,"11",37.4827586206897,51.3,23.1333333333333,0.06,NA,NA
"94",2002,"12",27.1612903225806,41.2857142857143,18.2142857142857,0.0746666666666667,NA,NA
"95",2003,"1",34.8064516129032,47.2258064516129,21.9354838709677,0.000967741935483871,NA,NA
"96",2003,"2",29.75,41.2857142857143,17.75,0.0178571428571429,NA,NA
"97",2003,"3",38.1290322580645,50,25.8064516129032,0.0306451612903226,NA,NA
"98",2003,"4",34.0333333333333,42.8,24.9333333333333,0.0906666666666667,NA,NA
"99",2003,"5",47.4516129032258,62.5806451612903,31.7741935483871,0.00870967741935484,NA,NA
"100",2003,"6",56.3333333333333,74.6333333333333,37.4666666666667,0.004,NA,NA
"101",2003,"7",63.6451612903226,81.8709677419355,44.9677419354839,0.07,NA,NA
"102",2003,"8",59.9677419354839,76.4838709677419,43,0.0209677419354839,NA,NA
"103",2003,"9",55.6785714285714,74.7333333333333,36.7,0.00133333333333333,NA,NA
"104",2003,"10",48.9677419354839,67.7096774193548,30.0645161290323,0.0125806451612903,NA,NA
