Hylak_id,Lake_name,lake_class
863,Miguel de la Madrid,Extremely hot and moist
864,Malpaso,Extremely hot and moist
865,Peten Itza,Extremely hot and moist
866,Angostura Reservoir,Extremely hot and moist
867,Izabal,Extremely hot and moist
870,Atitla,Hot and dry
872,Guajaro,Extremely hot and xeric
873,Valencia,Extremely hot and moist
874,Gatun,Extremely hot and moist
876,Zapatosa,Extremely hot and moist
879,Guarico,Extremely hot and xeric
882,Caruachi Reservoir,Extremely hot and xeric
883,Novo,Extremely hot and moist
886,Baia do Caxiuana,Extremely hot and moist
892,Lago Grande Do Curuai,Extremely hot and moist
896,Amana,Extremely hot and moist
900,Grande de Manacapuru,Extremely hot and moist
902,Tefe,Extremely hot and moist
904,Badajos,Extremely hot and moist
905,Biarini,Extremely hot and moist
906,Mamia,Extremely hot and moist
907,Coari,Extremely hot and moist
908,Aiapua,Extremely hot and moist
909,Taciula,Extremely hot and moist
912,Lagoa Quixere,Extremely hot and xeric
914,Grajau,Extremely hot and xeric
915,Itaparica Reservoir,Extremely hot and moist
916,Junin,Cold and mesic
922,Serra da Mesa Reservoir,Extremely hot and moist
924,Arapa,Cool temperate and dry
927,Mandiora,Extremely hot and moist
928,Tres Marias Reservoir,Hot and mesic
931,Sao Simao Reservoir,Extremely hot and moist
933,Lago Coipasa,Cool temperate and dry
934,Agua Vermelha Reservoir,Extremely hot and moist
937,Salar de Uyuni,Cool temperate and dry
939,Peixoto,Hot and mesic
941,Salar de Uyuni,Cool temperate and dry
942,Tres Irmaos Reservoir,Hot and mesic
943,Furnas,Hot and dry
945,Bariri,Hot and mesic
946,Promissao Reservoir,Hot and mesic
947,Feia,Hot and mesic
948,Tiete,Hot and dry
950,Iepe,Hot and mesic
951,Araruama,Hot and mesic
952,Itarare,Hot and dry
953,Barra Bonita,Hot and dry
954,Paraibuna,Hot and dry
955,Punta Negra,Cool temperate and xeric
959,Hondo,Hot and dry
960,Barragem Passo Fundo,Hot and dry
961,Real,Hot and dry
962,Itapeva,Hot and dry
963,Dos Ouadros,Hot and dry
964,Grande Reservoir,Hot and dry
966,Negro Reservoir,Hot and dry
968,Lagoa Mangueira,Warm temperate and mesic
969,Negra,Warm temperate and mesic
971,Llancanelo,Cool temperate and xeric
973,Monte,Warm temperate and mesic
974,Epecuen,Warm temperate and xeric
978,Los Barreales,Warm temperate and mesic
979,Mari Menuco,Warm temperate and mesic
980,Pelegrini,Warm temperate and mesic
981,Chocon Reservoir,Warm temperate and mesic
982,Villarrica,Cool temperate and moist
983,Calafquem,Cool temperate and moist
984,Huechulafquen,Cool temperate and moist
985,Ranguipulli,Cool temperate and moist
987,Ranco,Warm temperate and mesic
988,Puyehue,Cool temperate and moist
989,Rupanco,Warm temperate and mesic
990,Nahuel Huapi,Cool temperate and moist
991,Todos los Santos,Cool temperate and moist
